      t[ns]     EtO1x     EtO1y     EtO1z     EtO2x     EtO2y     EtO2z     EtO3x     EtO3y     EtO3z     EtO4x     EtO4y     EtO4z     EtO5x     EtO5y     EtO5z     EtO6x     EtO6y     EtO6z     EtO7x     EtO7y     EtO7z     EtO8x     EtO8y     EtO8z     EtO9x     EtO9y     EtO9z    EtO10x    EtO10y    EtO10z    EtO11x    EtO11y    EtO11z    EtO12x    EtO12y    EtO12z    EtO13x    EtO13y    EtO13z    EtO14x    EtO14y    EtO14z    EtO15x    EtO15y    EtO15z    EtO16x    EtO16y    EtO16z    EtO17x    EtO17y    EtO17z    EtO18x    EtO18y    EtO18z    EtO19x    EtO19y    EtO19z    EtO20x    EtO20y    EtO20z    EtO21x    EtO21y    EtO21z    EtO22x    EtO22y    EtO22z    EtO23x    EtO23y    EtO23z    EtO24x    EtO24y    EtO24z    EtO25x    EtO25y    EtO25z    EtO26x    EtO26y    EtO26z    EtO27x    EtO27y    EtO27z
        0.80     -2.54     10.63    -11.46      8.10     35.42     25.17    -65.27      7.21     42.22     42.09    -12.77    -14.36     17.63     17.27     24.19     27.53     46.01     37.33     20.03     24.30     33.89     36.50     24.08      0.82     46.92      4.99     16.61     51.77     48.53     18.25     -8.57     27.84     -1.99     57.84     20.96     47.61     31.93     23.76    -20.44     49.06     13.85     34.51    -14.12     12.43     26.45     36.74     38.39     -1.25      8.81    -24.23     18.92     28.49     31.03    -24.71     23.61      0.07      1.21     29.04    -24.91     53.72     10.93     39.71     26.40    -16.44     -3.23     20.19      6.57     28.71     15.83      1.43     -1.64     15.06     28.68     40.93      4.97      3.66    -23.87     46.91     20.35    -13.92     36.15
        0.82     -7.15      4.41    -16.28      4.69     39.64     29.45    -65.83     -0.23     43.00     42.33    -13.65    -13.16     16.72     15.49     26.98     31.38     46.20     36.72     17.45     26.55     35.66     39.28     29.83     -2.74     44.04      3.26     14.98     53.90     43.26     22.67     -6.15     28.95     -1.51     61.45     13.78     43.49     31.03     25.65    -19.43     47.88     19.45     31.91    -14.88     10.85     26.78     40.18     44.91     -3.07      4.76    -26.32     16.77     26.18     34.31    -26.49     17.84      2.79     -0.34     27.74    -30.92     51.60     12.23     38.57     24.50    -17.15      1.74     17.43      5.90     30.50      8.25     -0.82     -6.92     21.74     30.27     44.79      3.70      6.81    -23.29     38.28     24.13    -16.46     49.35
        0.84     -5.28      5.35    -18.08      0.74     42.21     23.92    -70.11      2.04     47.64     43.42    -16.09    -12.36     22.92     15.52     25.26     30.51     42.45     34.84     16.04     26.72     41.11     35.94     27.18     -8.35     44.79      6.31     19.58     49.73     43.22     15.75     -7.97     27.09      1.04     59.56     19.53     43.28     25.20     27.54    -14.52     40.69     20.35     31.30     -7.04     10.77     22.70     38.87     46.39     -1.46      3.75    -25.84     13.64     28.05     33.94    -27.51     18.30     -3.54      4.74     25.73    -28.46     51.29     12.88     40.20     26.62    -19.75      2.96     16.96      6.14     28.55      5.93      5.10     -3.62     28.65     33.08     42.56      4.88      8.34    -24.37     40.02     28.43    -13.79     47.48
        0.86     -1.64      2.18    -20.90      6.69     43.17     23.23    -70.85      1.41     50.95     42.02    -19.75    -15.10     24.30     17.47     18.96     32.15     38.63     34.69     24.20     25.66     33.92     35.38     29.99    -11.27     42.82      9.32     23.30     47.69     43.09     19.60     -3.47     20.89     -3.02     55.85     14.54     44.20     27.24     31.64     -8.10     41.64     14.78     34.83     -7.08     10.82     18.80     41.65     44.18     -2.21      1.49    -26.09     13.58     25.10     34.94    -31.72     27.18     -9.33      2.59     26.81    -24.11     51.90     10.84     44.47     25.20    -22.52      8.02     12.52      4.60     17.48      5.59      5.85     -4.26     26.71     35.54     39.63      0.90     14.16    -22.83     40.86     29.22     -9.47     44.50
        0.88     -1.94      0.11    -24.87      6.16     51.82     22.82    -72.51      0.41     52.40     36.88    -22.43    -19.87     24.24     15.54     26.23     34.70     40.41     35.17     23.68     25.55     32.37     31.85     26.27     -7.42     43.89     18.70     24.74     46.23     40.04     19.32     -5.03     26.87     -2.40     56.43     13.15     47.23     23.41     27.43     -9.23     40.37     14.08     35.07     -7.14      7.31     18.67     35.35     47.82      2.71      6.33    -31.30      9.56     22.21     36.20    -26.11     24.00    -12.01      3.82     22.73    -29.99     48.73     10.39     47.24     23.77    -26.55     -0.21     11.63      6.09     19.87      7.75     -5.52      0.21     28.45     37.51     38.91     -5.90     11.59    -22.57     40.42     31.46     -3.91     41.78
        0.90     -6.09     -1.33    -29.30      4.53     56.10     19.10    -75.60     -1.26     53.67     35.01    -20.82    -16.15     22.02     14.24     25.11     35.23     38.03     36.15     29.70     25.01     30.03     30.13     26.30    -12.57     42.62     17.14     29.78     46.75     41.52     15.41     -7.39     27.94     -3.72     53.44      6.35     42.14     25.88     29.39    -13.60     42.74     11.07     41.21     -9.66      4.88     15.75     38.87     48.47      3.29      8.20    -28.36      7.16     20.88     27.49    -28.63     31.73    -15.30      3.15     16.64    -31.51     48.20     16.70     44.23     26.28    -28.30      1.33      9.53     -0.32     18.42      6.47     -7.35     -5.32     25.77     34.94     41.92     -3.54      6.11    -28.06     43.93     28.06     -3.63     39.46
        0.92     -4.96     -1.34    -32.86      2.54     62.76     19.83    -68.93      1.54     46.78     32.95    -19.00    -22.19     28.26      7.81     29.52     33.97     35.82     34.93     23.98     20.44     32.73     25.49     26.09    -13.56     43.21     14.33     28.85     48.79     40.24     16.88    -13.97     30.88     -3.04     57.58     11.79     41.91     28.27     37.43    -20.48     48.77     14.59     46.54     -2.09      7.06     13.78     44.29     47.16      2.77      3.70    -30.55      9.43     20.74     25.90    -29.32     27.00    -16.64      2.94     18.48    -35.68     52.22     14.72     42.31     26.21    -33.14     -3.88      7.49      1.14     19.46     10.54     -4.59    -14.40     21.95     35.74     43.82      0.62     -1.93    -31.93     42.28     26.82     -6.15     40.57
        0.94     -7.72      0.95    -39.61     -2.44     60.60     24.53    -70.58      6.76     46.80     37.22    -15.05    -26.55     28.80     13.15     33.53     32.66     30.65     34.39     28.02     19.88     29.30     22.99     29.87    -17.32     44.15      9.63     20.18     47.10     40.54     16.47    -12.79     34.22     -8.84     61.35     14.49     39.40     25.06     44.17    -20.08     54.04     12.11     46.10      2.17     13.71     15.74     43.60     54.42      2.63      1.48    -30.10     10.82     27.77     33.29    -29.33     23.93    -18.38     -0.14     20.64    -35.54     55.51     11.08     44.06     27.71    -29.32     -6.00      6.22     -0.50     18.43     13.55     -4.74     -8.82     23.58     36.25     39.99      0.29      0.52    -34.90     40.19     26.17     -8.05     39.07
        0.96     -4.52      3.25    -38.48     -6.17     60.00     29.00    -68.40      5.60     45.83     39.50    -20.22    -22.26     30.09     20.28     29.45     25.26     29.59     43.58     28.58     23.34     25.52     15.22     28.10    -17.09     49.69     10.55     24.64     52.52     38.92     19.95    -10.61     35.69     -4.16     56.50      8.55     39.32     27.57     47.24    -22.25     49.83     12.08     42.69      1.60     10.89     17.37     34.89     54.60      5.40     -0.41    -29.65     13.63     26.05     36.47    -25.68     20.53    -18.58     -3.61     23.82    -34.98     60.37      7.93     48.10     24.84    -33.71     -5.10      9.58      3.45     14.24     13.85     -4.67     -8.79     22.05     38.24     42.43      2.15     -5.16    -38.39     45.04     29.79    -10.33     40.59
        0.98     -0.79      4.52    -37.13     -4.28     61.48     30.04    -66.25      6.42     44.78     42.65    -21.55    -22.69     26.25     21.32     25.22     28.97     30.13     40.37     25.33     27.61     21.20     16.47     32.96    -20.36     47.78     17.34     30.12     51.08     35.80     23.81    -13.98     37.95     -5.37     56.43      7.31     39.88     23.97     46.33    -25.98     54.27     11.77     42.53     -6.66      9.53     15.83     41.63     56.40      8.90      1.56    -31.05     13.69     34.47     37.60    -26.29     17.11    -18.00      1.18     23.67    -36.85     53.85     10.45     50.36     32.99    -34.10     -1.08     12.63     -0.21     11.64     17.65     -5.98    -12.53     16.34     40.29     39.74      6.77     -5.57    -40.56     43.32     28.75     -6.33     42.04
        1.00     -2.82      6.70    -39.94     -0.48     66.93     33.56    -65.97     11.81     45.23     43.32    -22.26    -24.58     22.55     19.80     22.73     29.51     37.36     41.05     26.81     24.28     25.73     13.55     35.37    -21.10     46.20     15.57     41.01     53.52     34.35     15.96    -14.93     36.52     -7.86     56.78      9.52     37.15     30.09     42.55    -24.38     60.01     16.83     45.41    -11.63      6.65     11.53     41.12     58.87      7.83      2.82    -27.07     11.81     32.77     35.96    -23.50     12.57    -17.55      2.79     17.18    -38.45     56.21      2.26     50.06     38.25    -38.27     -0.10     11.05     -0.44      8.88     22.32     -8.21    -13.97     16.60     39.84     42.40      3.74     -4.09    -39.18     49.67     31.90      0.90     44.94
        1.02     -7.93      8.62    -40.69      3.38     66.90     34.93    -59.50      7.90     47.62     39.55    -22.50    -19.85     27.73     18.38     27.92     29.92     44.20     38.55     34.95     18.79     28.60      9.93     34.84    -23.26     45.89     25.79     42.43     54.80     33.74     13.05    -17.32     33.07     -9.54     56.29     12.36     37.46     33.22     44.44    -25.56     57.58     20.29     47.18     -8.13      2.11      6.38     41.27     58.26     12.04      0.47    -22.25     11.93     31.85     41.90    -22.16     13.10    -16.57      7.90     18.65    -37.14     54.46      8.98     46.72     28.60    -33.07     -2.80     10.94     -1.33      8.38     22.14     -9.21    -14.07     19.50     40.10     37.58      3.12     -5.22    -38.54     47.09     31.79     -0.24     46.69
        1.04     -8.23      7.38    -41.49      3.76     66.20     36.74    -53.16      8.24     54.18     42.34    -24.37    -22.74     29.71     24.02     23.97     33.79     41.31     49.11     32.26     27.36     28.12     13.42     35.26    -24.28     41.77     19.11     40.61     51.78     30.58     14.55    -15.98     38.77    -17.56     58.90     11.86     37.62     32.56     48.48    -23.99     62.78     15.10     44.02     -8.68     -1.17      4.56     34.29     62.56      8.54      0.77    -21.95     17.77     35.99     43.24    -17.76      5.99    -22.16      4.71     15.35    -42.59     55.12      2.73     51.80     29.15    -31.49     -8.28     12.22     -1.82      6.30     31.36     -6.43    -18.30     20.02     41.92     41.03      0.96     -4.41    -45.33     48.56     31.79      4.21     43.48
        1.06     -5.62      7.41    -42.13      7.74     64.67     35.85    -49.33     -0.26     51.64     44.51    -19.70    -21.83     32.30     28.95     28.14     33.64     44.73     41.17     35.07     30.24     24.87      8.32     30.99    -25.31     40.62     15.65     42.57     45.98     34.08     18.33    -18.28     38.87    -11.62     56.90     13.58     34.22     30.70     50.04    -21.26     55.93     13.69     41.46     -5.22     -1.00      9.34     36.40     61.91     10.14     -2.26    -15.19     13.02     34.03     38.98    -18.52     10.68    -27.45      9.21     18.85    -43.49     53.36     -2.41     62.84     28.92    -33.37     -6.83     18.99      1.00      9.39     22.33     -6.49    -15.77     16.31     40.71     39.99      1.56     -6.88    -43.55     46.48     34.12      6.50     36.48
        1.08     -7.05     10.85    -43.93     -0.50     60.99     34.72    -47.46      1.39     50.36     42.27    -24.24    -26.50     36.73     23.76     27.85     38.95     39.69     47.21     35.30     27.60     22.82      3.94     27.22    -26.05     44.35     15.94     45.33     52.81     37.01     16.96    -17.79     42.42    -13.88     57.40     15.77     34.20     27.19     49.31    -18.64     53.72     18.46     39.55    -10.08      2.89      9.60     33.32     64.44     21.17     -0.37    -17.13     10.02     41.87     36.14    -21.21      2.90    -28.44      7.82     21.13    -41.61     48.38     -0.44     61.27     28.54    -35.54     -8.98     20.52      3.26     11.52     23.94     -3.29    -13.81     17.10     43.52     35.70     -0.43     -7.98    -41.11     44.05     36.01      9.04     40.61
        1.10     -4.75      9.75    -48.55      0.13     56.08     38.90    -49.60      0.19     46.81     41.28    -23.39    -28.91     37.58     26.00     24.68     32.98     41.56     46.55     40.10     17.44     23.88      5.60     29.08    -24.38     40.27     16.51     48.13     54.18     36.57     10.61    -17.78     35.18    -20.57     56.73     10.59     29.76     23.80     49.17    -16.39     53.37     21.09     41.39     -9.36      2.71      0.89     32.16     64.67     25.94      3.08    -19.39      8.21     43.46     36.76    -10.23      2.06    -24.73      6.00     18.42    -39.00     50.14     -0.02     58.96     32.65    -27.34     -7.54     17.54     -2.42     12.49     23.88     -6.41    -10.16     19.01     45.50     35.98     -3.15    -11.19    -45.85     47.88     34.97      7.66     48.06
